"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.067555264E1,-1.613982320E0,1.610698938E0,7.583128214E-1
5.070412406E1,-8.497899175E-1,1.183093309E0,-3.107013404E-1
5.073269549E1,2.375502288E-1,8.465065360E-1,-1.139645457E0
5.076126692E1,1.956524968E0,-9.268352985E-1,-1.342452765E0
5.078983835E1,2.232636213E0,-1.188896537E0,-1.621618152E0
5.081840978E1,1.970574975E0,-2.738050699E0,-9.081275463E-1
5.084698120E1,1.397583365E0,-3.665344238E0,-3.094795942E-1
5.087555263E1,1.179504395E0,1.424385071E0,-8.971319795E-1
5.090412406E1,-2.121000528E0,-4.300033092E0,1.293430805E0
5.093269549E1,-6.185010541E-3,-1.063058257E0,1.334358811E0
5.096126692E1,1.596725345E0,-2.197434902E0,-3.004616976E0
5.098983834E1,5.741369724E-1,-1.473712474E-1,-1.545259953E0
5.101840977E1,7.714464664E-1,-1.152855396E0,-1.133536816E0
5.104698120E1,1.296179652E0,-3.465133011E-1,-8.122217059E-1
5.107555263E1,1.985235691E0,-1.772883654E0,-1.554422975E0
5.110412406E1,1.797089219E0,-1.942704201E0,-1.630781174E0
5.113269548E1,1.434846044E0,-1.598176241E0,-1.696143746E0
5.116126691E1,1.169730544E0,-1.559080839E0,-1.183627725E0
5.118983834E1,6.486625075E-1,-1.582293749E0,-1.237383962E0
5.121840977E1,-2.425898612E-1,-1.857793927E0,-7.719045877E-1
5.124698120E1,-1.106353283E0,-1.491274834E0,4.657084048E-1
5.127555262E1,-2.018985987E0,-9.854783416E-1,1.524948716E0
5.130412405E1,-2.737974405E0,-1.783268332E0,2.351449490E0
5.133269548E1,-2.263942957E0,-1.828014255E-1,2.790661573E0
5.136126691E1,-8.662832975E-1,1.030987859E0,3.397250652E0
5.138983834E1,-1.629864812E0,1.200197458E0,3.324557781E0
5.141840976E1,-1.668349385E0,1.977676302E-1,2.421698809E0
5.144698119E1,-1.705001235E0,5.844452977E-1,2.089388132E0
5.147555262E1,-1.579773903E0,1.313207507E0,1.660560846E0
5.150412405E1,-1.370857954E0,1.963168144E0,1.158429623E0
5.153269548E1,-1.001284480E0,2.157423258E0,5.261840224E-1
5.156126690E1,1.856266707E-1,1.321148753E0,-7.419722080E-1
5.158983833E1,1.272355914E0,6.840163469E-1,-1.424308658E0
5.161840976E1,2.685898066E0,-7.655668855E-1,-1.727908731E0
5.164698119E1,2.923524618E0,-1.302517414E0,-2.378480196E0
5.167555262E1,2.204536200E0,-2.581669331E0,-8.830820918E-1
5.170412404E1,5.613088012E-1,-2.095420599E0,6.587418318E-1
5.173269547E1,-7.343363762E-1,6.937901974E-1,2.525164187E-1
5.176126690E1,-2.285399586E-1,-9.610437751E-1,9.305768609E-1
