"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.799155547E0,7.671703696E-1,-2.304336309E0,1.004109755E-1
3.809155580E0,7.683921456E-1,-1.700190663E0,1.004109755E-1
3.819155546E0,6.645449996E-1,-1.163851023E0,8.452847600E-2
3.829155546E0,5.222133994E-1,-7.985535860E-1,3.504839167E-2
3.839155546E0,3.951534629E-1,-6.122397184E-1,-2.848159149E-2
3.849155546E0,3.023019433E-1,-5.609270334E-1,-7.368562371E-2
3.859155512E0,2.351067662E-1,-5.664247870E-1,-9.445504099E-2
3.869155512E0,1.807397604E-1,-5.859724879E-1,-1.207222417E-1
3.879155512E0,1.349248588E-1,-6.097962260E-1,-1.427133977E-1
3.889155512E0,1.074359268E-1,-6.372851729E-1,-1.512655020E-1
3.899155512E0,9.644035250E-2,-6.812674403E-1,-1.610393524E-1
3.909155512E0,9.521862119E-2,-7.142542005E-1,-1.811978966E-1
3.919155512E0,1.098793894E-1,-7.264714837E-1,-2.166280895E-1
3.929155512E0,1.477530301E-1,-7.344127297E-1,-2.483930737E-1
3.939155512E0,1.941787899E-1,-7.545713186E-1,-2.545017302E-1
3.949155512E0,2.375502288E-1,-7.857254148E-1,-2.441170216E-1
3.959155512E0,2.650391459E-1,-8.156577945E-1,-2.318997234E-1
3.969155512E0,2.882520258E-1,-8.455902338E-1,-2.392300963E-1
3.979155512E0,2.900846303E-1,-8.370380998E-1,-2.508365512E-1
3.989155512E0,2.778673172E-1,-7.961101532E-1,-2.826015353E-1
3.999155512E0,2.534327209E-1,-7.087563872E-1,-3.155882657E-1
4.009155512E0,2.326633036E-1,-5.988006592E-1,-3.400228620E-1
4.019155512E0,2.351067662E-1,-4.833471179E-1,-3.528510332E-1
4.029155512E0,2.583196461E-1,-3.776674271E-1,-3.400228620E-1
